[2024-12-24 14:40:45.456] [info]  DiscordSplash.signalReady
[2024-12-24 14:40:45.485] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-24 14:40:45.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-24 14:40:45.486] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-24 14:40:45.486] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-24 14:40:45.487] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-24 14:40:45.487] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-24 14:40:45.487] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-24 14:40:45.487] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-24 14:40:45.487] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-24 14:40:45.487] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-24 14:40:45.488] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-24 14:40:45.488] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-24 14:40:45.488] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-24 14:40:45.488] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-24 14:40:46.338] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-24 14:40:46.338] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-24 14:40:46.456] [info]  Splash.updateCountdownSeconds: undefined
[2024-12-24 14:40:46.984] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-24 14:40:46.985] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-24 14:40:47.035] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-24 14:40:47.035] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-24 14:40:47.040] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-24 14:40:47.040] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-24 14:40:47.066] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-24 14:40:47.066] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-24 14:40:47.072] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-24 14:40:47.072] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-24 14:40:47.082] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-24 14:40:47.082] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-24 14:40:47.100] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
